DATE=19991015, TIME=09:30:00, NPAN=751, NPMT=9522, NOWL=91, NLG=49, NBUT=22, NECK=4
H100 10  7 T10  0  130.503  -85.399  0  0  0  0
EAAA PPDM JJDZ KAYC OM20  0x07   32.677 -607.293 -581.673
EAAB PPBL JJEA KAYC OM21  0x07   56.799 -617.141 -567.801
EAAC PPFJ JJEB KAYC OM22  0x07   30.083 -626.565 -559.472
EAAD POYU JJEC KAYC OM23  0x07   80.917 -626.984 -553.894
EAAE POWP JJED KAYC OM24  0x07   54.202 -636.408 -545.565
EAAF PPBP JJWQ KAYD OM25  0x07   27.487 -645.832 -537.235
EAAG PPER JJWR KAYD OM26  0x07  105.039 -636.832 -540.022
EAAH PPFY JJWS KAYD OM27  0x07   78.324 -646.256 -531.693
EAAI PMPZ JJWT KAYD OM28  0x07   51.609 -655.680 -523.363
EAAJ PMJI JJWU KAYD OM29  0x07   24.916 -665.096 -514.997
H101 10  7 T10  1  123.492  -75.325  0  0  0  0
EAAK PLUV JLEU KKXC OP17  0x07  226.414 -670.232 -455.789
EAAL PPCX JLEV KKXC OP18  0x07  200.121 -681.818 -448.971
EAAM PPBI JLEW KKXC OP19  0x07  202.959 -664.635 -472.817
EAAN PPOZ JLEX KKXC OP20  0x07  173.825 -693.367 -442.157
EAAO POYR JLEY KKXC OP21  0x07  176.663 -676.185 -466.003
EAAP PPHC JLEZ KKXC OP22  0x07  179.500 -659.002 -489.849
EAAQ POYA JLFA KKXC OP23  0x07  147.529 -704.933 -435.323
EAAR POYZ JLFB KKXC OP24  0x07  150.370 -687.770 -459.184
EAAS POZK JIKM KKXD OP25  0x07  153.208 -670.588 -483.030
EAAT PPFL JIKN KKXD OP26  0x07  156.046 -653.405 -506.876
H102 21  7 T21  0  123.492  -83.862  0  0  0  0
EAAU PJHF JJWV KAYD OM30  0x07   17.710 -717.282 -442.081
EAAV PIYE JJWW KAYD OM31  0x07   41.612 -725.038 -426.563
EAAW PIIO JJWX KAYD OM32  0x07   65.490 -732.812 -411.026
EAAX PJIR JJHW KBEA ON01  0x07   20.622 -700.691 -466.319
EAAY PJBJ JJHX KBEA ON02  0x07   44.499 -708.450 -450.803
EAAZ PJEU JJHY KBEA ON03  0x07   68.402 -716.205 -435.284
EABA PPBM JJHZ KBEA ON04  0x07   92.280 -723.979 -419.747
EABB PPAX JJIA KBEA ON05  0x07   23.508 -684.087 -490.580
EABC PPEF JJIB KBEA ON06  0x07   47.411 -691.858 -475.041
EABD PPGE JJIC KBEA ON07  0x07   71.289 -699.617 -459.524
EABE PPCJ JJID KBEA ON08  0x07   95.191 -707.372 -444.006
EABF PIWN JJWA KBEB ON09  0x07  119.069 -715.146 -428.469
EABG PIXW JJWB KBEB ON10  0x07   50.298 -675.255 -499.301
EABH PJIB JJWC KBEB ON11  0x07   74.200 -683.010 -483.783
EABI PJBH JJWD KBEB ON12  0x07   98.078 -690.784 -468.246
EABJ PIYS JJWE KBEB ON13  0x07  121.981 -698.539 -452.728
EABK PJIT JJWF KBEB ON14  0x07   77.087 -666.422 -508.023
EABL PJGR JJWG KBEB ON15  0x07  100.990 -674.177 -492.505
EABM PIOC JJWH KBEB ON16  0x07  124.868 -681.951 -476.968
EABN PIYZ JJIU KBEC ON17  0x07  103.877 -657.589 -516.745
EABO PJGA JJIV KBEC ON18  0x07  127.780 -665.344 -501.226
H103 10  6 T10  0  116.619  -73.830  0  0  0  0
EABP PFKG JKCO KAYA OM03  0x07  246.602 -698.037 -400.188
EABQ PDVO JKCP KAYA OM04  0x07  238.068 -712.949 -376.186
EABR PDWY JKCQ KAYA OM05  0x07  218.718 -707.406 -397.791
EABS PDUJ JKCR KAYA OM06  0x07  229.504 -727.846 -352.171
EABT PDTH JKCS KAYA OM07  0x07  210.155 -722.303 -373.776
EABU PGLJ JKCT KAYA OM08  0x07  190.805 -716.760 -395.381
EABV PDQW JJUM KAYB OM09  0x07  220.969 -742.758 -328.170
EABW PDVP JJUN KAYB OM10  0x07  201.620 -737.215 -349.775
EABX PEFG JJUO KAYB OM11  0x07  182.271 -731.672 -371.379
EABY PEDN JJUP KAYB OM12  0x07  162.900 -726.122 -392.947
H104 10  6 T10  0  106.860  -78.453  0  0  0  0
EABZ PNXD JJVK KHZD OL25  0x07  172.617 -799.884 -196.484
EACA PNKW JJVL KHZD OL26  0x07  153.765 -796.801 -219.002
EACB PNMZ JJVM KHZD OL27  0x07  182.234 -789.791 -222.504
EACC PMVG JJVN KHZD OL28  0x07  134.930 -793.687 -241.516
EACD PNUG JJVO KHZD OL29  0x07  163.400 -786.677 -245.018
EACE PNSX JJVP KHZD OL30  0x07  191.870 -779.667 -248.519
EACF PNZG JJVQ KHZD OL31  0x07  116.072 -790.581 -264.025
EACG PMWL JJVR KHZD OL32  0x07  144.547 -783.594 -267.536
EACH PNJX JKCM KAYA OM01  0x07  173.017 -776.584 -271.037
EACI PNLZ JKCN KAYA OM02  0x07  201.487 -769.574 -274.539
H105 21  6 T21  0  113.585  -80.942  0  0  0  0
EACJ PNIC JJJV KHZA OL04  0x07   76.451 -747.877 -380.892
EACK PJPD JJJW KHZA OL05  0x07   67.338 -760.438 -355.763
EACL PMZV JJJX KHZA OL06  0x07   58.194 -772.999 -330.652
EACM PJRG JJJY KHZA OL07  0x07  105.026 -741.517 -384.669
EACN PJQZ JJJZ KHZA OL08  0x07   95.905 -754.070 -359.563
EACO PJNH JJUU KHZB OL09  0x07   86.792 -766.630 -334.433
EACP PJPN JJUV KHZB OL10  0x07   77.648 -779.191 -309.322
EACQ PJNC JJUW KHZB OL11  0x07  133.617 -735.141 -388.474
EACR PMZI JJUX KHZB OL12  0x07  124.481 -747.709 -363.339
EACS PJMI JJUY KHZB OL13  0x07  115.360 -760.262 -338.233
EACT PJOZ JJUZ KHZB OL14  0x07  106.247 -772.823 -313.104
EACU PMKX JJVA KHZB OL15  0x07   97.103 -785.384 -287.993
EACV PMVZ JJVB KHZB OL16  0x07  153.072 -741.333 -367.144
EACW PNAS JJLO KHZC OL17  0x07  143.959 -753.894 -342.015
EACX PNFC JJLP KHZC OL18  0x07  134.815 -766.455 -316.904
EACY PNFG JJLQ KHZC OL19  0x07  125.701 -779.016 -291.775
EACZ PMZY JJLR KHZC OL20  0x07  172.526 -747.526 -345.815
EADA PLTH JJLS KHZC OL21  0x07  163.413 -760.087 -320.686
EADB PNQS JJLT KHZC OL22  0x07  154.269 -772.648 -295.575
EADC PNVD JJLU KHZC OL23  0x07  191.981 -753.719 -324.486
EADD PMUH JJLV KHZC OL24  0x07  182.868 -766.279 -299.356
H106 14  6 T14  0  104.184  -71.518  0  0  0  0
EADE PJRE JIFK KCLB PL13  0x07  208.814 -793.149 -191.577
EADF PJIZ JIFL KCLB PL14  0x07  226.435 -793.695 -167.881
EADG PJRO JIFM KCLB PL15  0x07  218.908 -782.629 -217.247
EADH PJRP JIFN KCLB PL16  0x07  236.523 -783.167 -193.574
EADI PJRH JKPK KCLC PL17  0x07  254.144 -783.713 -169.878
EADJ PJNF JKPL KCLC PL18  0x07  229.009 -772.132 -242.926
EADK PMIX JKPM KCLC PL19  0x07  246.623 -772.671 -219.254
EADL PNHI JKPN KCLC PL20  0x07  264.239 -773.193 -195.548
EADM PNDI JKPO KCLC PL21  0x07  281.877 -773.724 -171.880
EADN PNRM JKPP KCLC PL22  0x07  239.101 -761.628 -268.629
EADO PNLT JKPQ KCLC PL23  0x07  256.717 -762.151 -244.923
EADP PNRJ JKPR KCLC PL24  0x07  274.363 -762.689 -221.233
EADQ PBRD JKPC KCLD PL25  0x07  291.971 -763.204 -197.550
EADR PMYC JKPD KCLD PL26  0x07  309.593 -763.750 -173.854
H107 14  6 T14  0  113.216  -66.835  0  0  0  0
EADS PPGR JLMX KESB PM12  0x07  303.545 -687.547 -380.185
EADT PMYX JLMY KESB PM13  0x07  276.696 -699.701 -378.481
EADU PMJZ JLMZ KESB PM14  0x07  322.298 -689.902 -357.505
EADV PPED JLNA KESB PM15  0x07  295.449 -702.056 -355.801
EADW PPHB JLNB KESB PM16  0x07  268.607 -714.218 -354.074
EADX PMMI JLAU KESC PM17  0x07  341.050 -692.257 -334.826
EADY PMAR JLAV KESC PM18  0x07  314.208 -704.419 -333.098
EADZ PPBU JLAW KESC PM19  0x07  287.359 -716.573 -331.394
EAEA PILU JLAX KESC PM20  0x07  260.523 -728.758 -329.676
EAEB PLXN JLAY KESC PM21  0x07  359.826 -694.604 -312.151
EAEC PLUB JLAZ KESC PM22  0x07  332.961 -706.773 -310.418
EAED POYO JLBA KESC PM23  0x07  306.125 -718.958 -308.701
EAEE PLNR JLBB KESC PM24  0x07  279.276 -731.112 -306.996
EAEF PMAC JLBC KESD PM25  0x07  252.416 -743.305 -305.274
H108 14  6 T14  0  104.726  -61.168  0  0  0  0
EAEG POFE JLBD KESD PM26  0x07  420.333 -706.507 -183.192
EAEH POBI JLBE KESD PM27  0x07  429.446 -693.946 -208.321
EAEI PLJH JLBF KESD PM28  0x07  394.288 -720.382 -182.230
EAEJ POLO JLBG KESD PM29  0x07  403.401 -707.821 -207.359
EAEK POPK JLBH KESD PM30  0x07  412.545 -695.260 -232.470
EAEL POQC JLBI KESD PM31  0x07  368.248 -734.280 -181.277
EAEM PLIU JLBJ KESD PM32  0x07  377.361 -721.720 -206.406
EAEN POOY JLBK KLLA PN01  0x07  386.506 -709.159 -231.517
EAEO POGP JLBL KLLA PN02  0x07  395.619 -696.598 -256.646
EAEP POIO JLBM KLLA PN03  0x07  342.201 -748.171 -180.347
EAEQ POTX JLBN KLLA PN04  0x07  351.322 -735.618 -205.453
EAER PMEU JLBO KLLA PN05  0x07  360.459 -723.049 -230.587
EAES PMOU JLBP KLLA PN06  0x07  369.579 -710.496 -255.693
EAET PHUJ JLBQ KLLA PN07  0x07  378.692 -697.936 -280.823
H109 10  6 T10  0  107.477  -66.627  0  0  0  0
EAEU PDGL JLKB KESA PM02  0x07  268.442 -748.116 -276.536
EAEV PDCP JLKC KESA PM03  0x07  295.372 -736.129 -278.125
EAEW PAFG JLKD KESA PM04  0x07  286.258 -748.690 -252.996
EAEX PDGR JLKE KESA PM05  0x07  322.303 -724.127 -279.682
EAEY PEHA JLKF KESA PM06  0x07  313.190 -736.688 -254.553
EAEZ PCSK JLKG KESA PM07  0x07  304.070 -749.241 -229.447
EAFA PNMJ JLKH KESA PM08  0x07  349.264 -712.140 -281.254
EAFB PDPE JLMU KESB PM09  0x07  340.120 -724.701 -256.143
EAFC PEES JLMV KESB PM10  0x07  331.007 -737.262 -231.013
EAFD PECQ JLMW KESB PM11  0x07  321.886 -749.815 -205.907
H110 14  5 T14 11   87.924  -65.787  0  0  0  0
EAFE PEOZ JHZC KGCD PC25  0x07  328.543 -771.047   83.286
EAFF PEJM JHZD KGCD PC26  0x07  355.529 -759.058   82.702
EAFG PFLG JHZE KGCD PC27  0x07  314.875 -777.889   58.030
EAFH PEMQ JHZF KGCD PC28  0x07  341.838 -765.906   57.436
EAFI PEUY JHZG KGCD PC29  0x07  368.824 -753.917   56.852
EAFJ PFOH JHZH KGCD PC30  0x07  301.214 -784.756   32.774
EAFK PEOU JHZI KGCD PC31  0x07  328.177 -772.773   32.181
EAFL PEOV JHZJ KGCD PC32  0x07  355.156 -760.760   31.596
EAFM PFDI JFNK KBBA PD01  0x07  382.128 -748.775   30.978
EAFN PDWD JFNL KBBA PD02  0x07  287.530 -791.630    7.509
EAFO PJKQ JFNM KBBA PD03  0x07  314.509 -779.616    6.924
EAFP PFLB JFNN KBBA PD04  0x07  341.504 -767.625    6.317
EAFQ PFJH JFNO KBBA PD05  0x07  368.460 -755.618    5.722
EAFR PEPR JFNP KBBA PD06  0x07  395.446 -743.628    5.138
H111 14  5 T14  0   96.484  -71.080  0  0  0  0
EAFS PMHS JJWY KDYB OF09  0x07  230.731 -799.606 -129.592
EAFT PHDZ JJWZ KDYB OF10  0x07  218.675 -806.744 -103.607
EAFU PGUF JJXA KDYB OF11  0x07  258.536 -789.752 -130.771
EAFV PHDU JJXB KDYB OF12  0x07  246.479 -796.890 -104.787
EAFW PGMP JJXC KDYB OF13  0x07  234.446 -804.022  -78.792
EAFX PHBC JJXD KDYB OF14  0x07  286.340 -779.897 -131.951
EAFY PGOB JJXE KDYB OF15  0x07  274.306 -787.029 -105.957
EAFZ PHAU JJXF KDYB OF16  0x07  262.250 -794.168  -79.972
EAGA PHDT JGXK KDYC OF17  0x07  250.224 -801.324  -53.977
EAGB PGNH JGXL KDYC OF18  0x07  314.154 -770.041 -133.154
EAGC PHDJ JGXM KDYC OF19  0x07  302.111 -777.175 -107.137
EAGD PGVK JGXN KDYC OF20  0x07  290.084 -784.331  -81.141
EAGE PMCM JGXO KDYC OF21  0x07  278.028 -791.469  -55.157
EAGF PMFI JGXP KDYC OF22  0x07  265.992 -798.628  -29.138
H112 14  5 T14  0   96.737  -60.980  0  0  0  0
EAGG PMPY JFRH KBBB PD14  0x07  440.920 -709.711 -106.258
EAGH PNEA JFRI KBBB PD15  0x07  426.141 -714.512 -131.374
EAGI PMPE JFRJ KBBB PD16  0x07  429.604 -718.733  -80.522
EAGJ PNEB JKFG KBBC PD17  0x07  414.825 -723.534 -105.638
EAGK PMID JKFH KBBC PD18  0x07  400.077 -728.327 -130.768
EAGL PNCJ JKFI KBBC PD19  0x07  418.295 -727.780  -54.785
EAGM PMOK JKFJ KBBC PD20  0x07  403.516 -732.581  -79.901
EAGN PLVH JKFK KBBC PD21  0x07  388.768 -737.374 -105.031
EAGO PMTN JKFL KBBC PD22  0x07  373.988 -742.175 -130.147
EAGP PNEI JKFM KBBC PD23  0x07  406.963 -736.833  -29.058
EAGQ PMXO JKFN KBBC PD24  0x07  392.206 -741.628  -54.164
EAGR PMVV JHTW KBBD PD25  0x07  377.436 -746.427  -79.304
EAGS PMTT JHTX KBBD PD26  0x07  362.679 -751.222 -104.410
EAGT PMMR JHTY KBBD PD27  0x07  347.900 -756.023 -129.527
H113 10  5 T10  0   93.659  -66.060  0  0  0  0
EAGU PIGA JFNQ KBBA PD07  0x07  296.781 -787.114  -24.113
EAGV PIET JFNR KBBA PD08  0x07  309.030 -780.052  -50.027
EAGW PHYR JFRC KBBB PD09  0x07  323.809 -775.251  -24.911
EAGX PIIZ JFRD KBBB PD10  0x07  321.294 -772.959  -75.932
